project,date,commodity,confidence,status,level,unit,net gross,source
Block 2,30th June 2014,Gas,Unknown,Unspecified,20,Tcf,gross,https://www.sec.gov/Archives/edgar/data/1140625/000114062514000059/sto2q14_6k.pdf
Block 2,30th March 2015,Gas,Unknown,Unspecified,22,Tcf,gross,http://www.statoil.com/en/NewsAndMedia/News/2015/Pages/30Mar_Tanzania.aspx
Buckreef Prospect,5th June 2012,Gold,Measured & Indicated,Unspecified,1.3,million troy ounces,gross,http://www.tmaa.go.tz/uploads/ANNUAL_REPORT_2014.pdf
Bulyanhulu Gold Mine,3rd October 2014,Gold,Proven & Probable,Unspecified,9.4,million troy ounces,gross,http://www.tmaa.go.tz/uploads/ANNUAL_REPORT_2014.pdf
Buzwagi Gold Mine,3rd October 2014,Gold,Proven & Probable,Unspecified,1.1,million troy ounces,gross,http://www.tmaa.go.tz/uploads/ANNUAL_REPORT_2014.pdf
Dutwa Nickel Project,1st March 2011,Nickel,Indicated,Unspecified,0.43,million tonnes,gross,http://www.tmaa.go.tz/uploads/ANNUAL_REPORT_2014.pdf
Dutwa Nickel Project,1st March 2011,Cobalt,Indicated,Unspecified,9240,tonnes,gross,http://www.tmaa.go.tz/uploads/ANNUAL_REPORT_2014.pdf
Geita Gold Mine,31st December 2013,Gold,Indicated,Unspecified,7.47,million troy ounces,gross,http://www.tmaa.go.tz/uploads/ANNUAL_REPORT_2014.pdf
Handeni Gold,29th February 2012,Gold,Indicated,Unspecified,0.72,million ounces,gross,http://www.tmaa.go.tz/uploads/ANNUAL_REPORT_2014.pdf
Imweru Gold Project,14th October 2014,Gold,Indicated,Unspecified,0.1,million troy ounces,gross,http://www.tmaa.go.tz/uploads/ANNUAL_REPORT_2014.pdf
Kabanga Nickel Project,2nd August 2013,Nickel,Measured & Indicated,Unspecified,0.98,million tonnes,gross,http://www.tmaa.go.tz/uploads/ANNUAL_REPORT_2014.pdf
Kiliwani North,14th May 2015,Gas,2C,Unspecified,28,Bcf,gross,http://www.londonstockexchange.com/exchange/news/market-news/market-news-detail/12351516.html
Kiliwani North,14th May 2015,Gas,GIIP,Unspecified,44,Bcf,gross,http://www.londonstockexchange.com/exchange/news/market-news/market-news-detail/12351516.html
Kito Prospect,12th December 2013,Gas,Low Estimate,Unspecified,48,MMstb,gross,http://www.swala-energy.com/documents/RISCITSR-KitoProspect%2012Dec2013FINAL.pdf
Kito Prospect,12th December 2013,Gas,Best Estimate,Unspecified,151,MMstb,gross,http://www.swala-energy.com/documents/RISCITSR-KitoProspect%2012Dec2013FINAL.pdf
Kito Prospect,12th December 2013,Gas,High Estimate,Unspecified,424,MMstb,gross,http://www.swala-energy.com/documents/RISCITSR-KitoProspect%2012Dec2013FINAL.pdf
Liganga Iron Ore Project,19th September 2013,Iron Ore,Proven,Unspecified,219,million tonnes,gross,http://www.tmaa.go.tz/uploads/ANNUAL_REPORT_2014.pdf
